2020-08-03 04:00:24,547 DEBUG    [server] function "send_message" called from "send_contacts", params = ({'response': 202, 'time': 1596416424, 'alert': ['user1']}, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>, <Logger server (DEBUG)>), {}
2020-08-03 04:00:24,547 INFO     [server] -> Sent message to ('127.0.0.1', 8399): {'response': 202, 'time': 1596416424, 'alert': ['user1']}
2020-08-03 23:14:52,906 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>, <Logger server (DEBUG)>), {}
2020-08-03 23:14:52,907 INFO     [server] <- Received message from ('127.0.0.1', 8399): {'action': 'msg', 'time': 1596485692, 'to': '#test', 'from': 'user0', 'message': 'hey'}
2020-08-03 23:14:52,908 DEBUG    [server] function "send_message" called from "write_responses", params = ({'action': 'msg', 'time': 1596485692, 'to': '#test', 'from': 'user0', 'message': 'hey'}, <socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>, <Logger server (DEBUG)>), {}
2020-08-03 23:14:52,908 INFO     [server] -> Sent message to ('127.0.0.1', 8399): {'action': 'msg', 'time': 1596485692, 'to': '#test', 'from': 'user0', 'message': 'hey'}
2020-08-03 23:32:29,989 DEBUG    [server] function "receive_message" called from "read_requests", params = (<socket.socket fd=816, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 8399)>, <Logger server (DEBUG)>), {}
2020-08-03 23:32:29,990 ERROR    [server] function "receive_message" raised an exception "ConnectionResetError" (10054, 'An existing connection was forcibly closed by the remote host', None, 10054, None)
2020-08-03 23:32:29,990 INFO     [server] Connection with ('127.0.0.1', 8399) was reset
2020-08-03 23:32:30,454 DEBUG    [server] function "receive_message" called from "run", params = (<socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>, <Logger server (DEBUG)>), {}
2020-08-03 23:32:30,454 INFO     [server] <- Received message from ('127.0.0.1', 12132): {'action': 'presence', 'time': 1596486750, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}}
2020-08-03 23:32:30,455 DEBUG    [server] function "check_presence" called from "run", params = ({'action': 'presence', 'time': 1596486750, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}},), {}
2020-08-03 23:32:30,471 DEBUG    [server] function "send_response" called from "run", params = (<Server(Thread-1, started daemon 27516)>, {'action': 'presence', 'time': 1596486750, 'type': 'status', 'user': {'account_name': 'user0', 'status': 'online'}}, <socket.socket fd=684, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 7777), raddr=('127.0.0.1', 12132)>), {}
